Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
531;AÑO 2023;Paraguayo Cubas Colomés;2022-12-19T00:35:56.000Z;Mon Dec 19 00:35:56 +0000 2022;83;36;qst;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;None
2794;"- Al menos yo no les miento
- Otra cosa, mi Senadores no van a ser taan chetos";Paraguayo Cubas Colomés;2022-08-10T01:27:50.000Z;Wed Aug 10 01:27:50 +0000 2022;171;36;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;None
1389;"- El sermón para la fiscala
.

https://t.co/UAq1cAtSan";Paraguayo Cubas Colomés;2022-12-11T19:28:48.000Z;Sun Dec 11 19:28:48 +0000 2022;11;1;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;https://youtu.be/2cX1fauCa-k ;0;0;None
998;- HENDY PRESI ??, necesito una ayudita  - Pero última vez, espérame un ratito (Astronautas, hurreros ???? y sin humor:  NO MIRAR, ?? Peligro d infarto) https://t.co/jxLNaxVXkz;Paraguayo Cubas Colomés;2020-02-15T18:46:44.000Z;Sat Feb 15 18:46:44 +0000 2020;273;148;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;video
2210;"-
Quema de máquinas
-
https://t.co/wyoWPLHiur";Paraguayo Cubas Colomés;2022-09-29T21:44:04.000Z;Thu Sep 29 21:44:04 +0000 2022;17;0;pt;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;https://youtu.be/ArBbGJW7AHQ ;0;0;None
682;""" Antes q viajar a Oxford, prefiero asistir al cumpleaños de una sobrina muy querida"", dijo el preCandidato??";Paraguayo Cubas Colomés;2022-06-06T01:11:37.000Z;Mon Jun 06 01:11:37 +0000 2022;178;23;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;None
3166;""" Solo un hombre sin control puede poner las cosas bajo control""";Paraguayo Cubas Colomés;2020-09-02T21:11:27.000Z;Wed Sep 02 21:11:27 +0000 2020;172;27;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;None
3179;""" UN voto vale más que MIL gritos""
. https://t.co/wNaKztmtB4";Paraguayo Cubas Colomés;2021-09-15T08:39:14.000Z;Wed Sep 15 08:39:14 +0000 2021;87;28;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
1735;"""A LA COMPAÑERA"" debe decir... A la única que LE PEGÓ ?? éste ladrón de estancias y de obreros (Acepar),  transfuga del MEC y asesino (Ycua Bolaños) fue a la SENADORA MASI ??... Se puede apreciar a lo largo y ancho de TODOS los vídeos... INÚTIL https://t.co/EHLZS9YCTr";Paraguayo Cubas Colomés;2019-09-22T12:27:27.000Z;Sun Sep 22 12:27:27 +0000 2019;205;74;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
942;"""Ámaame o déjaame... Pero no me tortures... Hasta el amaneceer""... Pues sé que un día volveraaás ?? https://t.co/KpYPj2FwtK";Paraguayo Cubas Colomés;2020-08-22T10:52:13.000Z;Sat Aug 22 10:52:13 +0000 2020;80;6;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
1261;"""Amar para ser amado""??
Gracias Mercado 1 de Luque?????? https://t.co/dVsdjnFvdN";Paraguayo Cubas Colomés;2022-09-03T22:49:02.000Z;Sat Sep 03 22:49:02 +0000 2022;159;26;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;video
1759;"""ANARQUISTA E IRRESPONSABLE"" (Fidel Zavala) Nunca digas d esta fuente no he d beber. PATRIA QUERIDA intenta redimirse ahora, CARADURAS LO Q SON !! https://t.co/DuaeXT6Uxf";Paraguayo Cubas Colomés;2020-04-02T22:57:32.000Z;Thu Apr 02 22:57:32 +0000 2020;247;96;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
740;"""Así, puesto que eres tibio, y no frío ni caliente, te vomitaré de mi boca.""

Apocalipsis 3:16";Paraguayo Cubas Colomés;2020-03-23T02:49:41.000Z;Mon Mar 23 02:49:41 +0000 2020;35;11;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;None
892;"""Comienza a temblar Freezer, porque estoy a punto de ser el Super Saiyan que tanto has temido"" (GOKU) https://t.co/5a317o00ey";Paraguayo Cubas Colomés;2021-04-10T13:30:03.000Z;Sat Apr 10 13:30:03 +0000 2021;817;137;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
