Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
1340;"""Fuerza che memby, ñaganata"" https://t.co/GXpMQ2Ste4";Santiago Peña;2017-10-14T02:34:09.000Z;Sat Oct 14 02:34:09 +0000 2017;436;102;tl;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
827;"""Nadie puede dudar que @AllianaPedro y yo somos personas idóneas, honestas y tenemos un sentido de patriotismo tremendo"". 

#MinaEnCasa #Latele";Santiago Peña;2022-05-09T01:06:30.000Z;Mon May 09 01:06:30 +0000 2022;121;26;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;2;1;None
1686;"""Ñamba'apóta oñondive Santi"" 

#OñondiveJajapove 
#JuntosHagamosMás https://t.co/QRTMoeu4OO";Santiago Peña;2017-11-26T00:54:15.000Z;Sun Nov 26 00:54:15 +0000 2017;222;80;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
1350;"""Pastoreo ojapóta ndehegui Presidente de la República"" ¡Gracias queridos correligionarios! Me llevo su compromiso con este proyecto. https://t.co/AXUgeT2v1t";Santiago Peña;2017-10-21T02:18:52.000Z;Sat Oct 21 02:18:52 +0000 2017;274;73;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo
3088;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/5pNus8Awsl;Santiago Peña;2017-11-29T08:01:20.000Z;Wed Nov 29 08:01:20 +0000 2017;148;79;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
650;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/cmACZyYmsg;Santiago Peña;2017-12-11T12:19:35.000Z;Mon Dec 11 12:19:35 +0000 2017;109;37;es;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Tweet;;2;0;photo
1494;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/DckQoXhWOV;Santiago Peña;2017-12-10T12:27:13.000Z;Sun Dec 10 12:27:13 +0000 2017;114;32;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
633;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/Fnjo6FyPxp;Santiago Peña;2017-12-04T11:29:01.000Z;Mon Dec 04 11:29:01 +0000 2017;184;69;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
1074;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/jrJZ9FYsQi;Santiago Peña;2017-12-09T15:14:09.000Z;Sat Dec 09 15:14:09 +0000 2017;156;51;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
2198;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/yCF63OD7gx;Santiago Peña;2017-11-30T07:56:27.000Z;Thu Nov 30 07:56:27 +0000 2017;113;60;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
2356;#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2! https://t.co/YqkDtVYEkh;Santiago Peña;2017-12-05T14:49:41.000Z;Tue Dec 05 14:49:41 +0000 2017;172;71;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
78;"#Agenda Acompañanos camino a la gran victoria ¡Votá #Lista2!

#JuntosHagamosMás
#SantiPresidente https://t.co/Ulz3wsmOdv";Santiago Peña;2017-12-01T12:10:13.000Z;Fri Dec 01 12:10:13 +0000 2017;124;61;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;4;0;photo
902;#Ahora en @caraocruzpy por @Unicanal. Podés seguir el programa en las redes usando los hashtags #COCPY y #EstoyConSanti https://t.co/w4nunn03q4;Santiago Peña;2017-10-09T00:06:19.000Z;Mon Oct 09 00:06:19 +0000 2017;167;50;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;3;2;photo
3110;#Ahora Escuchame en @RadioAspen con @brunomasitv #SigamosConversando https://t.co/5QoQHp8v6f;Santiago Peña;2017-10-11T16:46:22.000Z;Wed Oct 11 16:46:22 +0000 2017;125;22;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;2;photo
2663;#Caaguazú nos demuestra la fuerza de su gente, de esa que lucha por cumplir sus sueños, por hacer de este un mejor Paraguay ¡Nuestra gente! https://t.co/SE8UBt78IL;Santiago Peña;2017-10-24T14:20:43.000Z;Tue Oct 24 14:20:43 +0000 2017;203;45;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;video
3071;"#CaminadoJuntos llevando nuestro mensaje de compromiso. ¡Unidos vamos camino a la gran victoria!

Sumate vos también al equipo ganador y #JuntosHagamosMas https://t.co/wqcygNS0Dk";Santiago Peña;2017-11-22T15:11:46.000Z;Wed Nov 22 15:11:46 +0000 2017;212;80;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;2;0;photo
2359;"#CaminandoJuntos A días de la gran victoria, seguimos trabajando más unidos que nunca para llegar con nuestras propuesta a cada correligionario. 
¡Nuestros actos y lo que ya hicimos demuestran nuestro compromiso con Paraguay! 

#JuntosHagamosMás
#SantiPresidente https://t.co/R9AvEJs5ra";Santiago Peña;2017-12-05T22:59:03.000Z;Tue Dec 05 22:59:03 +0000 2017;184;74;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;3;0;photo
934;#CaminandoJuntos Cada paso me acerca a vos, para conocerte y para que me conozcas. Venímos con propuestas porque queremos hacer más por ???? https://t.co/v5ba3DGmgQ;Santiago Peña;2017-10-23T21:54:55.000Z;Mon Oct 23 21:54:55 +0000 2017;128;34;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;photo
1329;#CaminandoJuntos Cada paso que damos unidos es ir hacia adelante, mirando fijo al futuro.Te invito a ser parte de ese Paraguay ¿Te unis? https://t.co/QNIjzg3CSf;Santiago Peña;2017-10-07T15:20:05.000Z;Sat Oct 07 15:20:05 +0000 2017;192;53;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;photo
2570;#CaminandoJuntos Cerca de la gente, llevando nuestras propuestas, escuchando a todos, compartiendo los mismos sueños ¡Caminando Juntos! https://t.co/4vG925bp2x;Santiago Peña;2017-11-07T19:50:53.000Z;Tue Nov 07 19:50:53 +0000 2017;165;39;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;photo
1703;#CaminandoJuntos El camino hacia el país que queremos será difícil, pero valdrá la pena. Acompañame ¡Sigamos haciendo más! https://t.co/HK434FRKmn;Santiago Peña;2017-10-08T01:32:48.000Z;Sun Oct 08 01:32:48 +0000 2017;165;33;es;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;1;0;photo
